Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/68864115/salvage-2005-toyota-corolla-matrix-xr-al-mobile,68864115,"3,130 USD",11/10/2025 12:00 pm CST,2005,TOYT,COROLLA MATRIX XR,1.8L  4,4,2T1KR32EX5C******,CERT OF TITLE SLVG REBUILDABLE,"286,191 E",EXEMPT,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/67664765/salvage-2017-ford-f150-super-cab-al-mobile,67664765,"13,681 USD",11/10/2025 12:00 pm CST,2017,FORD,F150 SUPER,2.7L  6,6,1FTEX1CP5HK******,SALVAGE VEHICLE TITLE,"142,536 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/49810325/salvage-2012-ford-escape-limited-al-mobile,49810325,"5,126 USD",11/10/2025 12:00 pm CST,2012,FORD,ESCAPE LIM,3.0L  6,6,1FMCU0EG2CK******,CERT OF TITLE-SALVAGE TITLE,"268,505 A",ACTUAL,TOP/ROOF,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/45996575/salvage-2020-hyundai-sonata-sel-al-mobile,45996575,"18,250 USD",11/10/2025 12:00 pm CST,2020,HYUN,SONATA SEL,2.5L  4,4,5NPEF4JA3LH******,SALVAGE VEHICLE TITLE,"73,100 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/89307205/clean-title-2003-toyota-corolla-ce-al-mobile,89307205,$1 USD,Future,2003,TOYT,COROLLA CE,1.8L  4,4,JTDBR32EX30******,BILL OF SALE - ABANDONED,0 E,EXEMPT,ALL OVER,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/88741365/salvage-2022-ford-escape-titanium-al-mobile,88741365,"20,519 USD",Future,2022,FORD,ESCAPE TIT,2.0L  4,4,1FMCU9J99NU******,CERT OF TITLE-SALVAGE TITLE,"109,541 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/88506175/salvage-2015-volkswagen-golf-al-mobile,88506175,"9,304 USD",Future,2015,VOLK,GOLF,1.8L  4,4,3VW217AU0FM******,CERT OF TITLE-SALVAGE TITLE,"116,294 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/87270744/clean-title-2007-acura-rl-al-mobile,87270744,"3,105 USD",Future,2007,ACUR,RL,3.5L  6,6,JH4KB16657C******,BILL OF SALE - ABANDONED,"194,076 E",EXEMPT,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/85815224/salvage-2015-ford-f150-supercrew-al-mobile,85815224,"21,353 USD",Future,2015,FORD,F150 SUPER,3.5L  6,6,1FTEW1EG1FF******,CERT OF TITLE-SALVAGE TITLE,"178,621 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/85800574/salvage-2019-hyundai-sonata-se-al-mobile,85800574,"15,995 USD",Future,2019,HYUN,SONATA SE,2.4L  4,4,5NPE24AF1KH******,CERT OF TITLE-SALVAGE TITLE,"81,942 A",ACTUAL,TOP/ROOF,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/85744524/salvage-2019-nissan-versa-s-al-mobile,85744524,"8,197 USD",Future,2019,NISS,VERSA S,1.6L  4,4,3N1CN7AP3KL******,CERT OF TITLE-SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/85306554/salvage-2015-chevrolet-equinox-ls-al-mobile,85306554,"7,520 USD",Future,2015,CHEV,EQUINOX LS,2.4L  4,4,2GNALAEK5F1******,CERT OF TITLE-SALVAGE TITLE,"205,236 A",ACTUAL,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/85252134/salvage-2015-hyundai-sonata-se-al-mobile,85252134,"7,605 USD",Future,2015,HYUN,SONATA SE,2.4L  4,4,5NPE24AF8FH******,CERT OF TITLE-SALVAGE TITLE,"132,958 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/85240104/clean-title-1996-ford-f250-al-mobile,85240104,$1 USD,Future,1996,FORD,F250,7.3L  8,8,1FTHX25F2TE******,BILL OF SALE - ABANDONED,0 E,EXEMPT,BURN - ENGINE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/84809535/2005-ford-f250-super-duty-al-mobile,84809535,"10,871 USD",Future,2005,FORD,F250 SUPER,6.0L  8,8,1FTSW21PX5E******,CERT OF TITLE-PARTS ONLY SALVG,"198,574 E",EXEMPT,ROLLOVER,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/84660624/clean-title-2011-jeep-compass-sport-al-mobile,84660624,$1 USD,Future,2011,JEP,COMPASS SP,2.0L  4,4,1J4NT1FA1BD******,BILL OF SALE - ABANDONED,"44,117 A",ACTUAL,ALL OVER,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/84403054/salvage-2014-lexus-is-250-al-mobile,84403054,"12,447 USD",Future,2014,LEXS,IS 250,2.5L  6,6,JTHBF1D28E5******,CERT OF TITLE-SALVAGE TITLE,"139,332 A",ACTUAL,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/84193425/salvage-2007-lincoln-town-car-signature-limited-al-mobile,84193425,"3,987 USD",Future,2007,LINC,TOWN CAR S,4.6L  8,8,1LNHM82W57Y******,CERT OF TITLE-SALVAGED,"185,363 E",EXEMPT,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/84062985/salvage-2016-buick-cascada-premium-al-mobile,84062985,"10,436 USD",Future,2016,BUIC,CASCADA PR,1.6L  4,4,W04WT3N52GG******,CERT OF TITLE-FLOOD SALVAGE,"103,646 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/84055195/salvage-2012-chevrolet-silverado-k1500-lt-al-mobile,84055195,"11,484 USD",Future,2012,CHEV,SILVERADO K1500 LT,5.3L  8,8,3GCPKSE71CG******,CERT OF TITLE-SALVAGE TITLE,"190,945 A",ACTUAL,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/83948255/salvage-2009-hyundai-sonata-se-al-mobile,83948255,"4,437 USD",Future,2009,HYUN,SONATA SE,3.3L  6,6,5NPEU46F49H******,CERT OF TITLE-SALVAGE TITLE,"109,423 E",EXEMPT,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/83871875/salvage-2016-hyundai-santa-fe-sport-al-mobile,83871875,"9,827 USD",Future,2016,HYUN,SANTA FE SPORT,2.4L  4,4,5XYZU3LB2GG******,CERT OF TITLE-SALVAGED,"109,720 N",NOT ACTUAL,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/83869344/salvage-2019-chevrolet-traverse-premier-al-mobile,83869344,"23,867 USD",Future,2019,CHEV,TRAVERSE P,3.6L  6,6,1GNERKKW7KJ******,CERT OF TITLE-SALVAGE TITLE,"68,130 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/83075774/clean-title-2002-dodge-ram-1500-al-mobile,83075774,"6,208 USD",Future,2002,DODG,RAM 1500,4.7L  8,8,1D7HA16N22J******,BILL OF SALE - ABANDONED,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/82832094/clean-title-2005-nissan-sentra-1-8-al-mobile,82832094,"2,860 USD",Future,2005,NISS,SENTRA 1.8,1.8L  4,4,3N1CB51D45L******,BILL OF SALE - ABANDONED,"210,617 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/82376215/2015-ford-fusion-se-hybrid-al-mobile,82376215,"5,085 USD",Future,2015,FORD,FUSION SE,2.0L  4,4,3FA6P0LU4FR******,CERT OF TITLE-PARTS ONLY SALVG,"140,603 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/81976144/2022-jeep-compass-latitude-al-mobile,81976144,"18,916 USD",Future,2022,JEP,COMPASS LA,2.4L  4,4,3C4NJCBB4NT******,CERT OF TITLE-PARTS ONLY SALVG,0 N,NOT ACTUAL,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/81850143/clean-title-2021-chevrolet-trax-1lt-al-mobile,81850143,$1 USD,Future,2021,CHEV,TRAX 1LT,1.4L  4,4,KL7CJLSM2MB******,BILL OF SALE - ABANDONED,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/81619135/salvage-2013-ford-f150-supercrew-al-mobile,81619135,"11,296 USD",Future,2013,FORD,F150 SUPER,5.0L  8,8,1FTFW1CF6DF******,CERT OF TITLE-SALVAGE TITLE,"152,015 A",ACTUAL,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/81271575/salvage-2009-honda-fit-sport-al-mobile,81271575,"7,163 USD",Future,2009,HOND,FIT SPORT,1.5L  4,4,JHMGE88669S******,CERT OF TITLE-SALVAGED,"158,497 E",EXEMPT,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/81231415/clean-title-2013-chevrolet-silverado-k1500-lt-al-mobile,81231415,"8,000 USD",Future,2013,CHEV,SILVERADO,5.3L  8,8,3GCPKSE76DG******,CERTIFICATE OF TITLE,"240,165 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
