Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/87300915/salvage-2019-nissan-versa-s-al-tanner,87300915,"10,899 USD",11/03/2025 08:00 pm CST,2019,NISS,VERSA S,1.6L  4,4,3N1CN7AP8KL******,CERT OF TITLE-SALVAGE TITLE,"101,330 N",NOT ACTUAL,REAR END,175 USD,0 USD,2173,AL - TANNER,0,N/A,N/A
https://www.copart.com/lot/87260425/salvage-2016-toyota-rav4-xle-al-montgomery,87260425,$1 USD,11/03/2025 08:00 pm CST,2016,TOYT,RAV4 XLE,2.5L  4,4,JTMWFREV6GD******,CERT OF TITLE-SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,"2,800 USD",0 USD,5037,AL - MONTGOMERY,0,N/A,N/A
https://www.copart.com/lot/87049425/clean-title-2020-chevrolet-tahoe-police-al-tanner,87049425,"12,664 USD",11/03/2025 08:00 pm CST,2020,CHEV,TAHOE POLI,5.3L  8,8,1GNLCDEC8LR******,CERTIFICATE OF TITLE (P),"184,657 A",ACTUAL,SIDE,"5,200 USD",0 USD,2172,AL - TANNER,0,N/A,N/A
https://www.copart.com/lot/86801945/clean-title-2017-mitsubishi-mirage-es-al-tanner,86801945,$1 USD,11/03/2025 08:00 pm CST,2017,MITS,MIRAGE ES,1.2L  3,3,ML32A3HJ5HH******,CERTIFICATE OF TITLE (P),"114,846 A",ACTUAL,REAR END,900 USD,0 USD,2016,AL - TANNER,0,N/A,N/A
https://www.copart.com/lot/86455965/clean-title-2015-kia-forte-lx-al-tanner,86455965,$1 USD,11/03/2025 08:00 pm CST,2015,KIA,FORTE LX,1.8L  4,4,KNAFK4A69F5******,CERTIFICATE OF TITLE,"173,419 A",ACTUAL,MECHANICAL,550 USD,0 USD,4068,AL - TANNER,0,N/A,N/A
https://www.copart.com/lot/86100825/clean-title-2016-subaru-crosstrek-limited-al-tanner,86100825,$1 USD,11/03/2025 08:00 pm CST,2016,SUBA,CROSSTREK,2.0L  4,4,JF2GPANC0G8******,CERT OF TITLE-REBUILT,"133,878 A",ACTUAL,MINOR DENT/SCRATCHES,"2,950 USD",0 USD,5098,AL - TANNER,0,N/A,N/A
https://www.copart.com/lot/85739045/salvage-2020-ford-ranger-xl-al-montgomery,85739045,"19,866 USD",11/03/2025 08:00 pm CST,2020,FORD,RANGER XL,2.3L  4,4,1FTER4EH7LL******,CERT OF TITLE-SALVAGE TITLE,0 N,NOT ACTUAL,ALL OVER,"1,400 USD",0 USD,4109,AL - MONTGOMERY,0,N/A,N/A
https://www.copart.com/lot/85697485/clean-title-2023-chevrolet-suburban-k1500-high-country-al-montgomery,85697485,$1 USD,11/03/2025 08:00 pm CST,2023,CHEV,SUBURBAN K,6.2L  8,8,1GNSKGKL4PR******,CERTIFICATE OF TITLE (P),"24,229 A",ACTUAL,REAR END,"31,500 USD",0 USD,3080,AL - MONTGOMERY,0,N/A,N/A
https://www.copart.com/lot/84616705/2017-nissan-sentra-s-al-dothan,84616705,"9,541 USD",11/03/2025 08:00 pm CST,2017,NISS,SENTRA S,1.8L  4,4,3N1AB7AP8HY******,CERTIFICATE OF DESTRUCTION,"176,813 A",ACTUAL,FRONT END,425 USD,0 USD,5155,AL - DOTHAN,0,N/A,N/A
https://www.copart.com/lot/83067344/salvage-2015-mazda-mx-5-miata-grand-touring-al-montgomery,83067344,"17,218 USD",11/03/2025 08:00 pm CST,2015,MAZD,MX-5 MIATA,2.0L  4,4,JM1NC2PF3F0******,CERT OF TITLE-SALVAGE TITLE,"63,007 A",ACTUAL,MECHANICAL,"1,350 USD",0 USD,3002,AL - MONTGOMERY,0,N/A,N/A
https://www.copart.com/lot/82056885/salvage-2017-honda-pilot-exl-al-montgomery,82056885,"15,012 USD",11/03/2025 08:00 pm CST,2017,HOND,PILOT EXL,3.5L  6,6,5FNYF6H57HB******,CERT OF TITLE-SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,725 USD,0 USD,4075,AL - MONTGOMERY,0,N/A,N/A
https://www.copart.com/lot/80823725/salvage-2018-ram-1500-st-al-dothan,80823725,"15,972 USD",11/03/2025 08:00 pm CST,2018,RAM,1500 ST,5.7L  8,8,3C6JR6DT6JG******,CERT OF TITLE-SALVAGE TITLE,"255,056 A",ACTUAL,FRONT END,400 USD,0 USD,5114,AL - DOTHAN,0,N/A,N/A
https://www.copart.com/lot/67139625/clean-title-2018-chevrolet-express-g3500-ls-al-montgomery,67139625,"14,566 USD",11/03/2025 08:00 pm CST,2018,CHEV,EXPRESS G3,4.3L  6,6,1GAZGNFPXJ1******,CERTIFICATE OF TITLE,"345,589 A",ACTUAL,MINOR DENT/SCRATCHES,"6,500 USD",0 USD,2046,AL - MONTGOMERY,0,N/A,N/A
https://www.copart.com/lot/67139205/clean-title-2020-chevrolet-express-g3500-ls-al-montgomery,67139205,"19,688 USD",11/03/2025 08:00 pm CST,2020,CHEV,EXPRESS G3,4.3L  6,6,1GAZGNFP8L1******,CERTIFICATE OF TITLE,"277,535 A",ACTUAL,MECHANICAL,"6,200 USD",0 USD,2085,AL - MONTGOMERY,0,N/A,N/A
https://www.copart.com/lot/67138765/clean-title-2019-chevrolet-express-g3500-ls-al-montgomery,67138765,"15,886 USD",11/03/2025 08:00 pm CST,2019,CHEV,EXPRESS G3,4.3L  6,6,1GAZGNFP5K1******,CERTIFICATE OF TITLE,"271,218 A",ACTUAL,MECHANICAL,"5,400 USD",0 USD,5016,AL - MONTGOMERY,0,N/A,N/A
https://www.copart.com/lot/87471635/salvage-2025-chevrolet-silverado-c1500-al-mobile,87471635,"28,000 USD",11/04/2025 11:00 am CST,2025,CHEV,SILVERADO,5.3L  8,8,3GCNAAED2SG******,CERT OF TITLE - SALVAGE (P),"1,910 A",ACTUAL,,"1,750 USD",0 USD,5332,AL - MOBILE,1.3,N/A,N/A
https://www.copart.com/lot/87110615/clean-title-2021-kia-sorento-lx-al-dothan,87110615,"19,725 USD",11/04/2025 11:00 am CST,2021,KIA,SORENTO LX,2.5L  4,4,5XYRG4LC9MG******,CERTIFICATE OF TITLE,"122,998 A",ACTUAL,,225 USD,0 USD,3214,AL - DOTHAN,3.7,RED LIGHT,"Other,Emission"
https://www.copart.com/lot/86877705/clean-title-2025-toyota-camry-xse-al-birmingham,86877705,$1 USD,11/04/2025 11:00 am CST,2025,TOYT,CAMRY XSE,2.5L  4,4,4T1DAACK6SU******,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,,175 USD,0 USD,5032,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/86311435/clean-title-2020-chevrolet-silverado-c1500-custom-al-birmingham,86311435,"28,950 USD",11/04/2025 11:00 am CST,2020,CHEV,SILVERADO C1500 CUSTOM,4.3L  6,6,1GCPWBEH0LZ******,CERTIFICATE OF VEHICLE TITLE,"128,262 A",ACTUAL,,175 USD,0 USD,3213,AL - BIRMINGHAM,4.6,RED LIGHT,N/A
